Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude,Datum
40,Glascontainer,48153 Münster - Centrum,Friedrich-Ebert-Straße/Annenstraße,,51.950481,7.631752,2024-06-10
41,Glascontainer,48151 Münster - Centrum,Geiststraße 10,,51.951641,7.620634,2024-06-10
42,Glascontainer,48147 Münster - Centrum,Goldstraße/Piusallee,,51.971039,7.640486,2024-06-10
43,Glascontainer,48149 Münster - Centrum,"Grevener Straße, Höhe Nr. 61c",,51.971848,7.612333,2024-06-10
44,Glascontainer,48155 Münster - Centrum,Hansaring (REWE-Markt),,51.953514,7.643968,2024-06-10
45,Glascontainer,48151 Münster - Centrum,Hermannstraße/Norbertstraße,,51.953445,7.622813,2024-06-10
46,Glascontainer,48149 Münster - Centrum,"Hüfferstr. (auf Parkstr. vor Haus Nr. 54, Möserweg)",,51.960754,7.605673,2024-06-10
47,Glascontainer,48143 Münster - Centrum,Katthagen/Rosenplatz (Unterflur),,51.965084,7.622202,2024-06-10
48,Glascontainer,48151 Münster - Centrum,Kolde-Ring,,51.949726,7.613043,2024-06-10
49,Glascontainer,48143 Münster - Centrum,Korduanenstraße (Hörster Parkplatz),,51.964432,7.631551,2024-06-10
50,Glascontainer,48143 Münster - Centrum,"Königsstr. (Parkplatz vor Haus Nr. 46, AOK)",,51.958977,7.625776,2024-06-10
51,Glascontainer,48153 Münster - Centrum,Leostraße/Hafenstraße (Busbahnhof),,51.953434,7.632208,2024-06-10
52,Glascontainer,48147 Münster - Centrum,Maximilianstraße/Zuhornstraße,,51.970196,7.626627,2024-06-10
53,Glascontainer,48143 Münster - Centrum,Mühlenstraße/Am Stadtgraben,,51.958794,7.619821,2024-06-10
54,Glascontainer,48143 Münster - Centrum,Münzstraße/Kalkmarkt (gegenüber),,51.966702,7.617672,2024-06-10
55,Glascontainer,48149 Münster - Centrum,Nordplatz,,51.971889,7.623393,2024-06-10
56,Glascontainer,48145 Münster - Centrum,"Oststr. (ggü. Fernmeldeamt, Durchgang)",,51.962105,7.645330,2024-06-10
57,Glascontainer,48151 Münster - Centrum,Scharnhorststraße (Hoppendamm) Unterflur,,51.953228,7.614333,2024-06-10
58,Glascontainer,48151 Münster - Centrum,Scharnhorststraße vor Haus Nr. 100,,51.950066,7.607161,2024-06-10
59,Glascontainer,48149 Münster - Centrum,Schlossplatz (ggü. Frauenstraße),,51.963127,7.617717,2024-06-10
60,Glascontainer,48143 Münster - Centrum,Servatiiplatz/Wolbecker Straße,,51.959908,7.635615,2024-06-10
61,Glascontainer,48149 Münster - Centrum,Steinfurter Str. 67-81 (Studentenw.),,51.972324,7.606580,2024-06-10
62,Glascontainer,48149 Münster - Centrum,Steinfurter Straße 23-25 (REWE-Markt),,51.969162,7.612375,2024-06-10
63,Glascontainer,48149 Münster - Centrum,Studtplatz/Grimmstraße  Unterflur,,51.969345,7.618198,2024-06-10
64,Glascontainer,48153 Münster - Centrum,Südstraße/Hafenstraße,,51.954987,7.627707,2024-06-10
65,Glascontainer,48143 Münster - Centrum,Universitätsstraße/Bispinghof,,51.960754,7.620446,2024-06-10
66,Glascontainer,48147 Münster - Centrum,Wasserstraße/Kanalstraße,,51.966888,7.630901,2024-06-10
67,Glascontainer,48149 Münster - Centrum,Wilhelmstraße/Orlèans-Ring,,51.968712,7.603550,2024-06-10
68,Glascontainer,48159 Münster - Centrum,York-Ring (Hauptfeuerwache),,51.974380,7.610001,2024-06-10
69,Glascontainer,48157 Münster - Coerde,An der Kleimannbrücke 25 (Kanal),,51.990982,7.660605,2024-06-10
70,Glascontainer,48157 Münster - Coerde,An der Kleinannbrücke/August-Horch-Straße,,51.995888,7.662595,2024-06-10
71,Glascontainer,48157 Münster - Coerde,An der Meerwiese,,51.987568,7.649341,2024-06-10
72,Glascontainer,48157 Münster - Coerde,Dachsleite/Marienburgstraße,,51.997517,7.648975,2024-06-10
73,Glascontainer,48157 Münster - Coerde,Görlitzer Straße (zw. Haus Nr. 34-58),,51.991726,7.642728,2024-06-10
74,Glascontainer,48157 Münster - Coerde,Hamannplatz,,51.993423,7.646639,2024-06-10
75,Glascontainer,48157 Münster - Coerde,Hessenbusch ggü. 184 (Wagenburg),,52.010876,7.665422,2024-06-10
76,Glascontainer,48157 Münster - Coerde,Josef-König-Str./Nevinghoff / Arbeitsamt,,51.984341,7.633314,2024-06-10
77,Glascontainer,48157 Münster - Coerde,Nerzweg gegenüber Haus Nr. 32,,51.999153,7.640459,2024-06-10
78,Glascontainer,48157 Münster - Coerde,Schneidemühler Str. /Königsberger Str.,,51.993668,7.650028,2024-06-10
79,Glascontainer,48157 Münster - Coerde,ZDM Coerder Liekweg 76 Recyclinghof,,52.010872,7.652774,2024-06-10
