"X";"Y";"LFDNR";"NAME";"URL";"SchoolType"
3405200;5763122;48;"Regenbogenschule, LWL-Förderschule für körperliche und motorische Entwicklung Münster";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/48.html";"Förderschule"
3405288;5760331;82;"Schillergymnasium";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/82.html";"Gymnasium"
3406945;5759334;112;"Städtische Berufsfachschule für pharmazeutisch-technische Assistenten/innen der Stadt Münster";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/112.html";"PTA-Berufsfachschule"
3403486;5758870;20;"Theresienschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/20.html";"Grundschule"
3406890;5760934;19;"Thomas-Morus-Schule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/19.html";"Grundschule"
3403795;5758683;94;"Timmermeister-Berufskolleg";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/94.html";"Berufskolleg"
3404653;5763948;63;"Waldschule Kinderhaus";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/63.html";"Hauptschule"
3401636;5761018;11;"Wartburg-Grundschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/11.html";"Grundschule"
3405694;5761075;106;"Weiterbildungskolleg Münster";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/106.html";"Weiterbildungskolleg"
3407210;5758955;102;"Wilhelm-Emmanuel-von-Ketteler-Berufskolleg";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/102.html";"Berufskolleg"
3405133;5757915;81;"Wilhelm-Hittorf-Gymnasium";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/81.html";"Gymnasium"
