LfdNr;Objektname;Objekttyp;Lat;Lon;Objekttyp2;ObjektID;BezirkID;ObjektID2;PlatteBezeichnung;PlatteBaujahr;PlatteMaterial;PlatteID
28;GESAMT-SCHULE MÜNSTER-MITTE;Schule;51.9640856126378;7.619676758007121;Gesamtschule;93;10;61201;Tischtennisplatte Innenhof, beim Beet;;Beton;10 61201 GESAMT-SCHULE MÜNSTER-MITTE, Jüdefelder Straße 10
29;GESAMT-SCHULE MÜNSTER-MITTE;Schule;51.9640856126378;7.619676758007121;Gesamtschule;93;10;61201;Tischtennisplatte Innenhof, Mitte;;Beton;10 61201 GESAMT-SCHULE MÜNSTER-MITTE, Jüdefelder Straße 10
30;GESAMT-SCHULE MÜNSTER-MITTE;Schule;51.9640856126378;7.619676758007121;Gesamtschule;93;10;61201;Tischtennisplatte Innenhof, bei Schaukel;;Beton;10 61201 GESAMT-SCHULE MÜNSTER-MITTE, Jüdefelder Straße 10
31;ERICH-KLAUSENER-REALSCHULE;Schule;51.95209943734531;7.609309332002956;Realschule;76;10;62101;Tischtennisplatte 4 am Südtrakt;;Sonstige;10 62101 ERICH-KLAUSENER-REALSCHULE, Bismarckallee 53
32;ERICH-KLAUSENER-REALSCHULE;Schule;51.95209943734531;7.609309332002956;Realschule;76;10;62101;Tischtennisplatte 5 Ostrand  Schulhof;;Sonstige;10 62101 ERICH-KLAUSENER-REALSCHULE, Bismarckallee 53
33;JOHANNISSCHULE;Schule;51.95250305344428;7.622243181011138;Grundschule;17;10;62202;Tischtennisplatte;;Stein;10 62202 JOHANNISSCHULE, VOGEL-VON-FALKENSTEIN-STR. 4
34;OVERBERGSCHULE;Schule;51.95647740612795;7.644859509195523;Grundschule;23;10;62401;Tischtennisplatte;;Beton;10 62401 OVERBERGSCHULE
35;OVERBERGSCHULE;Schule;51.95647740612795;7.644859509195523;Grundschule;23;10;62401;Tischtennisplatte;;Beton;10 62401 OVERBERGSCHULE
36;BODELSCHWINGH-SCHULE;Spielplatz;51.9597602800455;7.644705773979225;BC-0: BC-Bereich ohne Ballspielangebot;22501;10;62501;Tischtennisplatte;;Stein;10 62501 BODELSCHWINGH-SCHULE, Gutenbergstr.14
37;RATSGYMNASIUM;Schule;51.966887522654;7.638012410635285;Gymnasium;83;10;62601;Tischtennisplatte (vorne);;Beton;10 62601 RATSGYMNASIUM, BOHLWEG 7
38;RATSGYMNASIUM;Schule;51.966887522654;7.638012410635285;Gymnasium;83;10;62601;Tischtennisplatte (hinten);;Beton;10 62601 RATSGYMNASIUM, BOHLWEG 7
